,x,y
0,-1.0,-1.0
1,224.0,92.0
2,224.11111111111111,93.55555555555556
3,224.22222222222223,95.11111111111111
4,224.33333333333334,96.66666666666667
5,224.44444444444446,98.22222222222223
6,224.55555555555554,99.77777777777777
7,224.66666666666666,101.33333333333333
8,224.77777777777777,102.88888888888889
9,224.88888888888889,104.44444444444444
10,225.0,106.0
11,225.11111111111111,107.55555555555556
12,225.22222222222223,109.11111111111111
13,225.33333333333334,110.66666666666667
14,225.44444444444446,112.22222222222223
15,225.55555555555554,113.77777777777777
16,225.66666666666666,115.33333333333333
17,225.77777777777777,116.88888888888889
18,225.88888888888889,118.44444444444444
19,226.0,120.0
20,229.0,130.0
21,229.0,130.0
22,230.0,133.0
23,230.0,135.0
24,230.0,137.0
25,230.0,138.0
26,230.0,139.0
27,230.0,140.0
28,230.0,142.0
29,230.0,142.0
30,230.0,142.0
31,230.0,142.0
32,230.0,142.0
33,230.0,142.0
34,230.0,142.0
35,230.0,142.0
36,230.0,142.0
37,230.0,143.0
38,230.0,143.0
39,230.0,143.0
40,230.0,143.0
41,230.0,144.0
42,230.0,147.0
43,230.0,147.0
44,230.0,151.0
45,229.0,154.0
46,229.0,160.0
47,229.0,164.0
48,229.0,169.0
49,229.0,169.0
50,230.0,172.0
51,231.0,174.0
52,232.0,177.0
53,233.0,179.0
54,234.0,182.0
55,234.0,182.0
56,235.0,187.0
57,236.0,191.0
58,237.0,195.0
59,237.0,196.0
60,237.0,196.0
61,239.0,199.0
62,239.0,199.0
63,240.0,200.0
64,255.03333333333333,203.9
65,270.06666666666666,207.8
66,285.1,211.7
67,300.1333333333333,215.6
68,315.1666666666667,219.5
69,330.2,223.4
70,345.23333333333335,227.3
71,360.26666666666665,231.2
72,375.3,235.1
73,390.33333333333337,239.0
74,405.3666666666667,242.9
75,420.4,246.8
76,435.43333333333334,250.7
77,450.4666666666667,254.6
78,465.5,258.5
79,480.5333333333333,262.4
80,495.56666666666666,266.3
81,510.6,270.2
82,525.6333333333333,274.1
83,540.6666666666667,278.0
84,555.7,281.9
85,570.7333333333333,285.8
86,585.7666666666667,289.7
87,600.8,293.6
88,615.8333333333333,297.5
89,630.8666666666667,301.4
90,645.9,305.3
91,660.9333333333334,309.2
92,675.9666666666667,313.1
93,691.0,317.0
94,691.0357142857143,317.60714285714283
95,691.0714285714286,318.2142857142857
96,691.1071428571429,318.82142857142856
97,691.1428571428571,319.42857142857144
98,691.1785714285714,320.0357142857143
99,691.2142857142857,320.64285714285717
100,691.25,321.25
101,691.2857142857143,321.85714285714283
102,691.3214285714286,322.4642857142857
103,691.3571428571429,323.07142857142856
104,691.3928571428571,323.67857142857144
105,691.4285714285714,324.2857142857143
106,691.4642857142857,324.89285714285717
107,691.5,325.5
108,691.5357142857143,326.10714285714283
109,691.5714285714286,326.7142857142857
110,691.6071428571429,327.32142857142856
111,691.6428571428571,327.92857142857144
112,691.6785714285714,328.5357142857143
113,691.7142857142857,329.14285714285717
114,691.75,329.75
115,691.7857142857143,330.35714285714283
116,691.8214285714286,330.9642857142857
117,691.8571428571429,331.57142857142856
118,691.8928571428571,332.17857142857144
119,691.9285714285714,332.7857142857143
120,691.9642857142857,333.39285714285717
121,692.0,334.0
122,692.0,335.0
123,692.0,336.0
124,692.0,338.0
125,692.0,339.0
126,692.0,339.0
127,692.0,339.0
128,692.0,339.0
129,692.0,339.0
130,691.0,341.0
131,691.0,341.0
132,690.0,344.0
133,689.0,346.0
134,689.0,346.0
135,689.0,349.0
136,688.0,350.0
137,688.0,351.0
138,688.0,351.0
139,688.0,351.0
140,688.0,351.0
141,688.0,351.0
142,688.0,351.0
143,688.0,351.0
144,688.0,351.0
145,688.0,351.0
146,688.0,351.0
147,688.0,351.0
148,688.0,351.0
149,688.0,351.0
150,688.0,351.0
151,688.0,351.0
152,689.0,351.0
153,689.0,352.0
154,689.0,352.0
155,689.0,352.0
156,689.0,352.0
157,689.0,353.0
158,689.0,353.0
159,689.0,354.0
160,689.0,354.0
161,689.0,355.0
162,689.0,355.0
163,689.0,356.0
164,689.0,356.0
165,689.0,356.0
166,689.0,357.0
167,688.0,358.0
168,688.0,359.0
169,688.0,359.0
170,688.0,360.0
171,688.0,361.0
172,687.0,362.0
173,686.0,363.0
174,686.0,363.0
175,686.0,364.0
176,686.0,365.0
177,686.0,365.0
178,686.0,365.0
179,685.0,366.0
180,685.0,366.0
181,685.0,367.0
182,685.0,367.0
183,685.0,367.0
184,685.0,368.0
185,684.0,369.0
186,684.0,370.0
187,683.0,371.0
188,683.0,371.0
189,683.0,372.0
190,682.0,374.0
191,681.0,375.0
192,681.0,375.0
193,680.0,377.0
194,680.0,378.0
195,680.0,378.0
196,680.0,379.0
197,680.0,379.0
198,679.0,379.0
199,679.0,379.0
200,679.0,380.0
201,679.0,380.0
202,679.0,380.0
203,679.0,381.0
204,679.0,382.0
205,678.0,383.0
206,678.0,385.0
207,678.0,385.0
208,677.0,386.0
209,677.0,387.0
210,676.0,388.0
211,676.0,388.0
212,676.0,389.0
213,676.0,389.0
214,676.0,389.0
215,676.0,389.0
216,676.0,389.0
217,676.0,390.0
218,676.0,390.0
219,675.0,390.0
220,675.0,390.0
221,675.0,391.0
222,674.0,391.0
223,673.0,392.0
224,673.0,393.0
225,673.0,393.0
226,672.0,394.0
227,671.0,394.0
228,671.0,395.0
229,671.0,395.0
230,671.0,395.0
231,671.0,395.0
232,671.0,395.0
233,671.0,396.0
234,671.0,396.0
235,670.0,396.0
236,670.0,397.0
237,670.0,397.0
238,670.0,397.0
239,669.0,398.0
240,669.0,398.0
241,669.0,399.0
242,668.0,400.0
243,668.0,400.0
244,668.0,400.0
245,668.0,401.0
246,667.0,401.0
247,667.0,401.0
248,667.0,401.0
249,667.0,401.0
250,667.0,402.0
251,667.0,402.0
252,667.0,402.0
253,667.0,403.0
254,667.0,403.0
255,666.0,404.0
256,666.0,404.0
257,666.0,404.0
258,666.0,405.0
259,666.0,405.0
260,665.0,406.0
261,665.0,406.0
262,665.0,406.0
263,665.0,406.0
264,665.0,406.0
265,665.0,407.0
266,665.0,407.0
267,665.0,408.0
268,665.0,408.0
269,664.0,408.0
270,664.0,409.0
271,664.0,409.0
272,663.0,410.0
273,663.0,411.0
274,662.0,411.0
275,662.0,411.0
276,662.0,413.0
277,661.0,413.0
278,661.0,414.0
279,661.0,414.0
280,661.0,414.0
281,661.0,414.0
282,661.0,415.0
283,660.0,415.0
284,660.0,415.0
285,660.0,415.0
286,660.0,415.0
287,660.0,415.0
288,660.0,416.0
289,660.0,416.0
290,660.0,417.0
291,660.0,417.0
292,660.0,418.0
293,660.0,418.0
294,659.0,418.0
295,659.0,418.0
296,659.0,418.0
297,659.0,419.0
298,659.0,419.0
299,659.0,419.0
300,659.0,419.0
301,659.0,420.0
302,659.0,420.0
303,659.0,420.0
304,659.0,420.0
305,659.0,420.0
306,659.0,421.0
307,659.0,421.0
308,659.0,421.0
309,660.0,421.0
310,660.0,421.0
311,660.0,421.0
312,660.0,422.0
313,660.0,422.0
314,660.0,423.0
315,660.0,423.0
316,660.0,424.0
317,660.0,424.0
318,660.0,424.0
319,660.0,425.0
320,660.0,425.0
321,660.0,426.0
322,660.0,426.0
323,660.0,426.0
324,660.0,426.0
325,660.0,426.0
326,660.0,426.0
327,660.0,426.0
328,660.0,426.0
329,660.0,426.0
330,660.0,426.0
331,660.0,426.0
332,660.0,426.0
333,660.0,426.0
334,660.0,426.0
335,660.0,426.0
336,660.0,426.0
337,660.0,426.0
338,660.0,426.0
339,660.0,426.0
340,660.0,426.0
341,660.0,426.0
342,660.0,426.0
343,660.0,426.0
344,660.0,425.0
345,660.0,425.0
